import time: self [us] | cumulative | imported package
import time:       276 |      24401 |             torch.fx.experimental._constant_symnode
import time:       224 |      24625 |           torch.nested._internal.nested_int
import time:       280 |        280 |           torch.utils.weak
import time:       657 |      25747 |         torch.nested._internal.nested_tensor
import time:       331 |      26078 |       torch.nested
import time:       999 |        999 |           torch.optim.optimizer
import time:      1042 |       2040 |         torch.optim.lr_scheduler
import time:       538 |        538 |         torch.optim.swa_utils
import time:       435 |        435 |         torch.optim._adafactor
import time:       310 |        310 |         torch.optim.adadelta
import time:       254 |        254 |         torch.optim.adagrad
import time:       557 |        557 |         torch.optim.adam
import time:       316 |        316 |         torch.optim.adamax
import time:       178 |        178 |         torch.optim.adamw
import time:       315 |        315 |         torch.optim.asgd
import time:       229 |        229 |         torch.optim.lbfgs
import time:       320 |        320 |         torch.optim.nadam
import time:       399 |        399 |         torch.optim.radam
import time:       294 |        294 |         torch.optim.rmsprop
import time:       305 |        305 |         torch.optim.rprop
import time:       226 |        226 |         torch.optim.sgd
import time:       161 |        161 |           torch.optim._functional
import time:       226 |        386 |         torch.optim.sparse_adam
import time:       460 |       7555 |       torch.optim
import time:       116 |        116 |         torch._environment
import time:       382 |        382 |           gzip
import time:      1192 |       1192 |             torch.profiler._utils
import time:      3703 |       4895 |           torch.profiler._memory_profiler
import time:      1167 |       6443 |         torch.profiler.profiler
import time:       185 |        185 |         torch.profiler.itt
import time:       263 |       7005 |       torch.profiler
import time:       350 |        350 |       torch.special
import time:       192 |        192 |         torch.xpu._utils
import time:       211 |        211 |         torch.xpu.streams
import time:       207 |        207 |         torch.xpu.memory
import time:       177 |        177 |         torch.xpu.random
import time:       590 |       1374 |       torch.xpu
import time:      1292 |       1292 |           torch.signal.windows.windows
import time:       195 |       1487 |         torch.signal.windows
import time:       151 |       1637 |       torch.signal
import time:       162 |        162 |       torch.ao
import time:       185 |        185 |           torch.ao.nn
import time:       431 |        431 |             torch.ao.nn.intrinsic.modules.fused
import time:       196 |        627 |           torch.ao.nn.intrinsic.modules
import time:       218 |       1029 |         torch.ao.nn.intrinsic
import time:       154 |        154 |           torch.nn.intrinsic.modules.fused
import time:       195 |        349 |         torch.nn.intrinsic.modules
import time:       604 |        604 |                         torch.ao.nn.qat.modules.conv
import time:       228 |        228 |                         torch.ao.nn.qat.modules.embedding_ops
import time:       199 |        199 |                         torch.ao.nn.qat.modules.linear
import time:       219 |       1248 |                       torch.ao.nn.qat.modules
import time:       143 |       1391 |                     torch.ao.nn.qat
import time:       963 |       2353 |                   torch.ao.nn.intrinsic.qat.modules.conv_fused
import time:       212 |        212 |                   torch.ao.nn.intrinsic.qat.modules.linear_fused
import time:       180 |        180 |                   torch.ao.nn.intrinsic.qat.modules.linear_relu
import time:       213 |       2957 |                 torch.ao.nn.intrinsic.qat.modules
import time:       161 |       3117 |               torch.ao.nn.intrinsic.qat
import time:       181 |       3297 |             torch.nn.intrinsic.qat.modules.conv_fused
import time:       117 |        117 |             torch.nn.intrinsic.qat.modules.linear_fused
import time:       118 |        118 |             torch.nn.intrinsic.qat.modules.linear_relu
import time:       204 |       3734 |           torch.nn.intrinsic.qat.modules
import time:       138 |       3872 |         torch.nn.intrinsic.qat
import time:       262 |        262 |                                     torch.ao.nn.quantizable.modules.activation
import time:       359 |        359 |                                     torch.ao.nn.quantizable.modules.rnn
import time:       204 |        823 |                                   torch.ao.nn.quantizable.modules
import time:       132 |        955 |                                 torch.ao.nn.quantizable
import time:       417 |        417 |                                 torch.ao.nn.quantized.modules.activation
import time:       213 |        213 |                                 torch.ao.nn.quantized.modules.batchnorm
import time:       190 |        190 |                                   torch.ao.nn.quantized.modules.utils
import time:       687 |        876 |                                 torch.ao.nn.quantized.modules.conv
import time:       153 |        153 |                                 torch.ao.nn.quantized.modules.dropout
import time:       274 |        274 |                                 torch.ao.nn.quantized.modules.embedding_ops
import time:       295 |        295 |                                 torch.ao.nn.quantized.modules.functional_modules
import time:       268 |        268 |                                 torch.ao.nn.quantized.modules.linear
import time:       274 |        274 |                                 torch.ao.nn.quantized.modules.normalization
import time:       149 |        149 |                                 torch.ao.nn.quantized.modules.rnn
import time:       371 |       4240 |                               torch.ao.nn.quantized.modules
import time:        25 |       4264 |                             torch.ao.nn.quantized.modules.utils
import time:       371 |       4635 |                           torch.ao.nn.quantized.functional
import time:       166 |       4800 |                         torch.ao.nn.quantized
import time:       256 |       5056 |                       torch.ao.nn.intrinsic.quantized.modules.bn_relu
import time:       228 |        228 |                       torch.ao.nn.intrinsic.quantized.modules.conv_add
import time:       249 |        249 |                       torch.ao.nn.intrinsic.quantized.modules.conv_relu
import time:       240 |        240 |                       torch.ao.nn.intrinsic.quantized.modules.linear_relu
import time:       221 |       5992 |                     torch.ao.nn.intrinsic.quantized.modules
import time:       136 |       6127 |                   torch.ao.nn.intrinsic.quantized
import time:       510 |        510 |                           torch.ao.nn.quantized.dynamic.modules.conv
import time:       193 |        193 |                           torch.ao.nn.quantized.dynamic.modules.linear
import time:       505 |        505 |                           torch.ao.nn.quantized.dynamic.modules.rnn
import time:       226 |       1432 |                         torch.ao.nn.quantized.dynamic.modules
import time:       134 |       1566 |                       torch.ao.nn.quantized.dynamic
import time:       220 |       1786 |                     torch.ao.nn.intrinsic.quantized.dynamic.modules.linear_relu
import time:       184 |       1969 |                   torch.ao.nn.intrinsic.quantized.dynamic.modules
import time:       152 |       8248 |                 torch.ao.nn.intrinsic.quantized.dynamic
import time:       159 |       8406 |               torch.nn.intrinsic.quantized.dynamic.modules.linear_relu
import time:       164 |       8570 |             torch.nn.intrinsic.quantized.dynamic.modules
import time:       180 |       8749 |           torch.nn.intrinsic.quantized.dynamic
import time:       162 |        162 |             torch.nn.intrinsic.quantized.modules.bn_relu
import time:       115 |        115 |             torch.nn.intrinsic.quantized.modules.conv_relu
import time:       111 |        111 |             torch.nn.intrinsic.quantized.modules.linear_relu
import time:       180 |        566 |           torch.nn.intrinsic.quantized.modules
import time:       167 |       9481 |         torch.nn.intrinsic.quantized
import time:       214 |      14943 |       torch.nn.intrinsic
import time:       383 |        383 |                       torch.ao.nn.qat.dynamic.modules.linear
import time:       177 |        559 |                     torch.ao.nn.qat.dynamic.modules
import time:       134 |        693 |                   torch.ao.nn.qat.dynamic
import time:        21 |        713 |                 torch.ao.nn.qat.dynamic.modules
import time:        23 |        735 |               torch.ao.nn.qat.dynamic.modules.linear
import time:       153 |        888 |             torch.nn.qat.dynamic.modules.linear
import time:       171 |       1059 |           torch.nn.qat.dynamic.modules
import time:       171 |       1230 |         torch.nn.qat.dynamic
import time:       151 |        151 |           torch.nn.qat.modules.conv
import time:       112 |        112 |           torch.nn.qat.modules.embedding_ops
import time:       113 |        113 |           torch.nn.qat.modules.linear
import time:       222 |        597 |         torch.nn.qat.modules
import time:       169 |       1995 |       torch.nn.qat
import time:       170 |        170 |         torch.nn.quantizable.modules
import time:       141 |        311 |       torch.nn.quantizable
import time:       165 |        165 |         torch.nn.quantized.dynamic
import time:       113 |        113 |         torch.nn.quantized.functional
import time:       159 |        159 |         torch.nn.quantized.modules
import time:       223 |        658 |       torch.nn.quantized
import time:       134 |        134 |       torch._size_docs
import time:       123 |        123 |       torch._storage_docs
import time:      1062 |       1062 |       torch._tensor_docs
import time:       382 |        382 |                     torch.ao.quantization.quant_type
import time:       433 |        814 |                   torch.ao.quantization.utils
import time:      3684 |       4497 |                 torch.ao.quantization.observer
import time:       408 |       4905 |               torch.ao.quantization.fake_quantize
import time:       240 |        240 |                 torch.ao.quantization.fuser_method_mappings
import time:       207 |        447 |               torch.ao.quantization.fuse_modules
import time:       132 |        132 |                 torch.ao.quantization.pt2e
import time:       129 |        129 |                     torch.ao.ns
import time:       197 |        325 |                   torch.ao.ns.fx
import time:       511 |        511 |                   torch.ao.ns.fx.ns_types
import time:       582 |       1417 |                 torch.ao.ns.fx.utils
import time:       134 |        134 |                                 torch._dispatch
import time:       373 |        373 |                                       unittest.util
import time:       324 |        697 |                                     unittest.result
import time:       636 |        636 |                                     unittest.case
import time:       310 |        310 |                                     unittest.suite
import time:       661 |        661 |                                     unittest.loader
import time:       169 |        169 |                                         unittest.signals
import time:       248 |        417 |                                       unittest.runner
import time:       225 |        642 |                                     unittest.main
import time:       281 |       3225 |                                   unittest
import time:      2322 |       5546 |                                 unittest.mock
import time:       549 |       6229 |                               torch._dispatch.python
import time:       227 |        227 |                                 torch.utils._backport_slots
import time:      6583 |       6810 |                               torch._guards
import time:      1709 |       1709 |                                     torch._library.fake_profile
import time:       179 |        179 |                                           torch._logging.structured
import time:      2225 |       2403 |                                         torch._logging._internal
import time:       304 |       2706 |                                       torch._logging._registrations
import time:       206 |       2912 |                                     torch._logging
import time:       150 |        150 |                                       torch.utils._mode_utils
import time:      6497 |       6647 |                                     torch._subclasses.meta_utils
import time:       258 |        258 |                                     torch.utils._stats
import time:      1414 |       1414 |                                       torch.fx.experimental.sym_node
import time:      2967 |       4381 |                                     torch._subclasses._fake_tensor_utils
import time:       141 |        141 |                                       torch._custom_op
import time:      6053 |       6193 |                                     torch._subclasses.fake_impls
import time:      9583 |      31680 |                                   torch._subclasses.fake_tensor
import time:       355 |        355 |                                   torch._subclasses.fake_utils
import time:       222 |      32255 |                                 torch._subclasses
import time:        35 |      32290 |                               torch._subclasses.meta_utils
import time:       604 |      45931 |                             torch.fx.passes.shape_prop
import time:       126 |        126 |                             pydot
import time:       478 |      46533 |                           torch.fx.passes.graph_drawer
import time:       332 |        332 |                           torch.fx.passes.graph_manipulation
import time:       944 |        944 |                                   torch.fx.passes.utils.matcher_utils
import time:       298 |       1241 |                                 torch.fx.passes.utils.common
import time:       153 |       1394 |                               torch.fx.passes.utils
import time:       869 |        869 |                               torch.fx.passes.tools_common
import time:      1000 |       3263 |                             torch.fx.passes.split_utils
import time:       961 |       4223 |                           torch.fx.passes.net_min_base
import time:       530 |        530 |                           torch.fx.passes.operator_support
import time:       218 |        218 |                           torch.fx.passes.param_fetch
import time:      1415 |       1415 |                           torch.fx.passes.reinplace
import time:       184 |        184 |                             torch.fx._utils
import time:       290 |        290 |                               torch.utils._thunk
import time:       136 |        136 |                               torch.fx.experimental._backward_state
import time:      1882 |       2306 |                             torch.fx.experimental.proxy_tensor
import time:       439 |       2928 |                           torch.fx.passes.runtime_assert
import time:       494 |        494 |                           torch.fx.passes.split_module
import time:      1029 |       1029 |                           torch.fx.passes.splitter_base
import time:       392 |      58093 |                         torch.fx.passes
import time:       318 |        318 |                           torch.fx.passes.infra.pass_base
import time:       482 |        800 |                         torch.fx.passes.infra.pass_manager
import time:       211 |      59103 |                       torch.fx.passes.infra
import time:        39 |      59142 |                     torch.fx.passes.infra.pass_base
import time:       804 |        804 |                     torch.export.custom_ops
import time:       309 |        309 |                           torch.export._tree_utils
import time:      4511 |       4511 |                           torch.export.graph_signature
import time:       220 |        220 |                                 torch._custom_op.autograd
import time:       811 |       1030 |                               torch._custom_op.impl
import time:       162 |       1192 |                             torch._custom_ops
import time:      1127 |       1127 |                                       torch._higher_order_ops.schema
import time:       153 |        153 |                                           numpy._core
import time:       344 |        497 |                                         numpy._core._multiarray_umath
import time:      1548 |       2044 |                                       torch._subclasses.functional_tensor
import time:      1152 |       4323 |                                     torch._higher_order_ops.utils
import time:       302 |       4624 |                                   torch._higher_order_ops.base_hop
import time:      1119 |       5742 |                                 torch._higher_order_ops._invoke_quant
import time:       339 |        339 |                                 torch._higher_order_ops.aoti_call_delegate
import time:       434 |        434 |                                 torch._higher_order_ops.associative_scan
import time:      2178 |       2178 |                                 torch._higher_order_ops.auto_functionalize
import time:       619 |        619 |                                 torch._higher_order_ops.cond
import time:       129 |        129 |                                       torch._functorch._aot_autograd
import time:      1528 |       1656 |                                     torch._functorch._aot_autograd.utils
import time:       412 |       2068 |                                   torch._higher_order_ops.torchbind
import time:       641 |       2709 |                                 torch._higher_order_ops.effects
import time:       423 |        423 |                                 torch._higher_order_ops.executorch_call_delegate
import time:      1014 |       1014 |                                 torch._higher_order_ops.flat_apply
import time:       150 |        150 |                                       torch.testing._internal
import time:       479 |        628 |                                     torch.testing._internal.logging_tensor
import time:      1309 |       1937 |                                   torch.utils.checkpoint
import time:      1046 |       2982 |                                 torch._higher_order_ops.flex_attention
import time:       333 |        333 |                                 torch._higher_order_ops.foreach_map
import time:       359 |        359 |                                 torch._higher_order_ops.hints_wrap
import time:      1162 |       1162 |                                 torch._higher_order_ops.invoke_subgraph
import time:       504 |        504 |                                 torch._higher_order_ops.map
import time:      1593 |       1593 |                                 torch._higher_order_ops.out_dtype
import time:       362 |        362 |                                 torch._higher_order_ops.run_const_graph
import time:       659 |        659 |                                 torch._higher_order_ops.scan
import time:       358 |        358 |                                 torch._higher_order_ops.strict_mode
import time:       561 |        561 |                                 torch._higher_order_ops.while_loop
import time:       557 |        557 |                                 torch._higher_order_ops.wrap
import time:       569 |      23448 |                               torch._higher_order_ops
import time:        28 |      23475 |                             torch._higher_order_ops.flat_apply
import time:       452 |      25118 |                           torch._export.wrappers
import time:       981 |        981 |                           torch._export.utils
import time:       801 |      31718 |                         torch._export
import time:        44 |      31762 |                       torch._export.utils
import time:       656 |      32417 |                     torch.export.decomp_utils
import time:       504 |        504 |                         torch._export.verifier
import time:      2254 |       2757 |                       torch.export.exported_program
import time:      3619 |       6376 |                     torch.export.dynamic_shapes
import time:       202 |        202 |                       torch.export._remove_effect_tokens_pass
import time:      1700 |       1901 |                     torch.export.unflatten
import time:       537 |     101174 |                   torch.export
import time:      1053 |       1053 |                   torch.fx.passes.utils.source_matcher_utils
import time:       457 |     102684 |                 torch.ao.quantization.pt2e.graph_utils
import time:      1883 |     106114 |               torch.ao.quantization.pt2e._numeric_debugger
import time:       240 |        240 |               torch.ao.quantization.pt2e.export_utils
import time:       693 |        693 |               torch.ao.quantization.qconfig
import time:       251 |        251 |               torch.ao.quantization.qconfig_mapping
import time:       194 |        194 |                       torch.ao.nn.quantized.reference.modules.utils
import time:       516 |        710 |                     torch.ao.nn.quantized.reference.modules.conv
import time:       228 |        228 |                     torch.ao.nn.quantized.reference.modules.linear
import time:       449 |        449 |                     torch.ao.nn.quantized.reference.modules.rnn
import time:       260 |        260 |                     torch.ao.nn.quantized.reference.modules.sparse
import time:       368 |       2014 |                   torch.ao.nn.quantized.reference.modules
import time:       155 |       2168 |                 torch.ao.nn.quantized.reference
import time:       215 |        215 |                         torch.ao.nn.sparse.quantized.linear
import time:       250 |        250 |                         torch.ao.nn.sparse.quantized.utils
import time:       363 |        827 |                       torch.ao.nn.sparse.quantized.dynamic.linear
import time:       173 |        999 |                     torch.ao.nn.sparse.quantized.dynamic
import time:       192 |       1190 |                   torch.ao.nn.sparse.quantized
import time:       174 |       1364 |                 torch.ao.nn.sparse
import time:       184 |        184 |                 torch.ao.quantization.stubs
import time:       835 |       4549 |               torch.ao.quantization.quantization_mappings
import time:       348 |        348 |               torch.ao.quantization.quantize
import time:       192 |        192 |               torch.ao.quantization.quantize_jit
import time:       551 |     118287 |             torch.ao.quantization
import time:        34 |     118320 |           torch.ao.quantization.fake_quantize
import time:       197 |     118517 |         torch.quantization.fake_quantize
import time:       131 |        131 |         torch.quantization.fuse_modules
import time:       116 |        116 |         torch.quantization.fuser_method_mappings
import time:       129 |        129 |         torch.quantization.observer
import time:       122 |        122 |         torch.quantization.qconfig
import time:       111 |        111 |         torch.quantization.quant_type
import time:       118 |        118 |         torch.quantization.quantization_mappings
import time:       123 |        123 |         torch.quantization.quantize
import time:       114 |        114 |         torch.quantization.quantize_jit
import time:       113 |        113 |         torch.quantization.stubs
import time:       348 |     119939 |       torch.quantization
import time:       181 |        181 |       torch.quasirandom
import time:       126 |        126 |       torch.multiprocessing._atfork
import time:       514 |        514 |       torch._lobpcg
import time:       160 |        160 |           torch.masked._docs
import time:      1212 |       1212 |                 torch.masked.maskedtensor.core
import time:      4521 |       5733 |               torch.masked.maskedtensor.binary
import time:      1034 |       1034 |               torch.masked.maskedtensor.passthrough
import time:       125 |        125 |                 torch.masked.maskedtensor.creation
import time:      1638 |       1762 |               torch.masked.maskedtensor.reductions
import time:      5507 |       5507 |               torch.masked.maskedtensor.unary
import time:       262 |      14295 |             torch.masked.maskedtensor
import time:        28 |      14323 |           torch.masked.maskedtensor.core
import time:       750 |      15232 |         torch.masked._ops
import time:       208 |      15440 |       torch.masked
import time:       391 |        391 |       torch.utils.dlpack
import time:       152 |        152 |         torch._functorch.batch_norm_replacement
import time:       280 |        280 |           torch.fx.experimental.const_fold
import time:       690 |        969 |         torch._functorch.eager_transforms
import time:       327 |        327 |         torch._functorch.functional_call
import time:       212 |       1660 |       torch.func
import time:       272 |        272 |                 torch.utils._content_store
import time:       256 |        528 |               torch._prims.debug_prims
import time:       711 |        711 |               torch._prims.rng_prims
import time:       594 |        594 |               torch._prims_common.wrappers
import time:    296223 |     298054 |             torch._prims
import time:     40316 |     338369 |           torch._decomp.decompositions
import time:      1108 |       1108 |             torch._refs._conversions
import time:      5408 |       5408 |             torch._refs.fft
import time:      1342 |       1342 |             torch._refs.linalg
import time:       181 |        181 |               torch._refs.nn
import time:      6780 |       6960 |             torch._refs.nn.functional
import time:      4178 |       4178 |             torch._refs.special
import time:     57716 |      76711 |           torch._refs
import time:       641 |     415720 |         torch._decomp
import time:      1882 |       1882 |           torch.utils._config_module
import time:      1798 |       3679 |         torch.fx.experimental._config
import time:    133312 |     552711 |       torch._meta_registrations
import time:      1561 |       1561 |         torch.compiler.config
import time:       583 |       2143 |       torch.compiler
import time:     41049 |    1494835 |     torch
import time:       303 |        303 |           matplotlib._api.deprecation
import time:       341 |        643 |         matplotlib._api
import time:       109 |        109 |         matplotlib._version
import time:       447 |        447 |           shlex
import time:       376 |        376 |           matplotlib._c_internal_utils
import time:       829 |       1651 |         matplotlib.cbook
import time:       218 |        218 |         matplotlib._docstring
import time:       457 |        457 |             matplotlib.backends.registry
import time:       152 |        608 |           matplotlib.backends
import time:       238 |        238 |               PIL._version
import time:       247 |        484 |             PIL
import time:      6014 |       6014 |               PIL.ExifTags
import time:       129 |        129 |                 PIL._deprecate
import time:       570 |        698 |               PIL.ImageMode
import time:       743 |        743 |               PIL.TiffTags
import time:       166 |        166 |               PIL._binary
import time:      1068 |       1068 |                 PIL._typing
import time:       175 |       1242 |               PIL._util
import time:       109 |        109 |               defusedxml
import time:      1208 |       1208 |               PIL._imaging
import time:      1981 |      12160 |             PIL.Image
import time:       208 |        208 |               PIL.ImageChops
import time:       730 |        730 |               PIL.ImageFile
import time:       184 |        184 |                 PIL.GimpGradientFile
import time:       219 |        219 |                 PIL.GimpPaletteFile
import time:       212 |        212 |                 PIL.ImageColor
import time:       138 |        138 |                 PIL.PaletteFile
import time:       356 |       1107 |               PIL.ImagePalette
import time:       159 |        159 |               PIL.ImageSequence
import time:      1673 |       3876 |             PIL.PngImagePlugin
import time:       582 |        582 |             matplotlib._cm
import time:       582 |        582 |                   matplotlib._path
import time:       286 |        286 |                     matplotlib.bezier
import time:       459 |        745 |                   matplotlib.path
import time:      1846 |       3172 |                 matplotlib.transforms
import time:      1267 |       4438 |               matplotlib.ticker
import time:      1027 |       5464 |             matplotlib.scale
import time:       713 |        713 |             matplotlib._color_data
import time:      1607 |      24884 |           matplotlib.colors
import time:       457 |        457 |               pyparsing.util
import time:       520 |        520 |                 pyparsing.unicode
import time:      2098 |       2618 |               pyparsing.exceptions
import time:       299 |        299 |                 pyparsing.results
import time:       494 |        793 |               pyparsing.actions
import time:     10923 |      10923 |               pyparsing.core
import time:       918 |        918 |                     html.entities
import time:       519 |       1437 |                   html
import time:        29 |       1465 |                 html.entities
import time:      2986 |       4450 |               pyparsing.helpers
import time:       306 |        306 |               pyparsing.testing
import time:      5705 |       5705 |               pyparsing.common
import time:       672 |      25921 |             pyparsing
import time:       535 |      26455 |           matplotlib._fontconfig_pattern
import time:       619 |        619 |           matplotlib._enums
import time:       451 |        451 |           cycler
import time:      1635 |      54649 |         matplotlib.rcsetup
import time:       503 |        503 |         matplotlib.ft2font
import time:       183 |        183 |         dateutil._version
import time:       206 |        206 |           kiwisolver.exceptions
import time:       363 |        568 |         kiwisolver._cext
import time:       884 |        884 |           matplotlib._cm_listed
import time:      6295 |       7178 |         matplotlib.cm
import time:      8713 |      74411 |       matplotlib
import time:      3965 |       3965 |           matplotlib.artist
import time:       413 |        413 |           matplotlib.hatch
import time:       769 |        769 |             matplotlib.markers
import time:      7514 |       8283 |           matplotlib.lines
import time:     26260 |      38919 |         matplotlib.collections
import time:       177 |        177 |               matplotlib._pylab_helpers
import time:       938 |       1114 |             matplotlib.backend_tools
import time:       136 |        136 |                     xml.parsers
import time:       209 |        344 |                   xml.parsers.expat
import time:      1130 |       1474 |                 plistlib
import time:       911 |        911 |                   matplotlib._mathtext_data
import time:       477 |       1387 |                 matplotlib._afm
import time:      5226 |       8086 |               matplotlib.font_manager
import time:     30331 |      30331 |               matplotlib.patches
import time:      1100 |       1100 |                 matplotlib._text_helpers
import time:      1383 |       1383 |                 matplotlib.dviread
import time:      3082 |       3082 |                   matplotlib._mathtext
import time:       370 |       3452 |                 matplotlib.mathtext
import time:       428 |        428 |                 matplotlib.texmanager
import time:       540 |       6900 |               matplotlib.textpath
import time:      8130 |      53445 |             matplotlib.text
import time:       269 |        269 |             matplotlib._tight_bbox
import time:      1468 |       1468 |             matplotlib.widgets
import time:       341 |        341 |             matplotlib.backend_managers
import time:       479 |        479 |                 matplotlib._layoutgrid
import time:       360 |        839 |               matplotlib._constrained_layout
import time:       227 |        227 |               matplotlib._tight_layout
import time:       320 |       1385 |             matplotlib.layout_engine
import time:      2200 |      60219 |           matplotlib.backend_bases
import time:      4377 |      64595 |         matplotlib.contour
import time:      2201 |       2201 |         matplotlib.spines
import time:      1901 |     107615 |       matplotlib.colorbar
import time:       610 |        610 |         matplotlib._image
import time:      7582 |       8191 |       matplotlib.image
import time:       551 |        551 |               importlib_resources.abc
import time:       478 |       1028 |             importlib_resources._common
import time:       195 |        195 |             importlib_resources._functional
import time:       241 |       1463 |           importlib_resources
import time:     69303 |      70765 |         matplotlib.style.core
import time:       277 |      71042 |       matplotlib.style
import time:       144 |        144 |         matplotlib._blocking_input
import time:     10951 |      10951 |               matplotlib.offsetbox
import time:       270 |        270 |                 matplotlib.units
import time:      9550 |       9820 |               matplotlib.axis
import time:       512 |        512 |               matplotlib.gridspec
import time:      3386 |       3386 |               matplotlib.table
import time:      6338 |      31005 |             matplotlib.axes._base
import time:       902 |        902 |                     six
import time:       133 |        133 |                     dateutil._common
import time:        40 |         40 |                       six.moves
import time:       269 |        269 |                       dateutil.tz._common
import time:       187 |        187 |                       dateutil.tz._factories
import time:        28 |         28 |                         six.moves.winreg
import time:       223 |        250 |                       dateutil.tz.win
import time:       759 |       1503 |                     dateutil.tz.tz
import time:      1263 |       3799 |                   dateutil.parser._parser
import time:       328 |        328 |                   dateutil.parser.isoparser
import time:       254 |       4381 |                 dateutil.parser
import time:       267 |       4647 |               matplotlib.category
import time:      1103 |       1103 |                 dateutil.rrule
import time:       668 |       1770 |               matplotlib.dates
import time:       215 |        215 |                 matplotlib.container
import time:       524 |        524 |                 matplotlib.legend_handler
import time:      2361 |       3099 |               matplotlib.legend
import time:       421 |        421 |               matplotlib.mlab
import time:      5383 |       5383 |               matplotlib.quiver
import time:       206 |        206 |               matplotlib.stackplot
import time:       345 |        345 |               matplotlib.streamplot
import time:       246 |        246 |                 matplotlib.tri._triangulation
import time:      1948 |       1948 |                 matplotlib.tri._tricontour
import time:       213 |        213 |                 matplotlib.tri._trifinder
import time:       196 |        196 |                   matplotlib.tri._tritools
import time:       726 |        922 |                 matplotlib.tri._triinterpolate
import time:       153 |        153 |                 matplotlib.tri._tripcolor
import time:       136 |        136 |                 matplotlib.tri._triplot
import time:       192 |        192 |                 matplotlib.tri._trirefine
import time:       288 |       4094 |               matplotlib.tri
import time:      2920 |       2920 |               matplotlib.axes._secondary_axes
import time:     15536 |      38418 |             matplotlib.axes._axes
import time:       263 |      69685 |           matplotlib.axes
import time:     12216 |      12216 |           matplotlib.projections.geo
import time:      8879 |       8879 |           matplotlib.projections.polar
import time:       206 |        206 |             mpl_toolkits
import time:       368 |        368 |                 mpl_toolkits.mplot3d.proj3d
import time:     15177 |      15545 |               mpl_toolkits.mplot3d.art3d
import time:      6582 |       6582 |               mpl_toolkits.mplot3d.axis3d
import time:     11486 |      33612 |             mpl_toolkits.mplot3d.axes3d
import time:       350 |      34167 |           mpl_toolkits.mplot3d
import time:       366 |     125311 |         matplotlib.projections
import time:      7822 |     133276 |       matplotlib.figure
import time:      7408 |     401942 |     matplotlib.pyplot
import time:       274 |        274 |       networkx.lazy_imports
import time:       339 |        339 |       networkx.exception
import time:       288 |        288 |         networkx.utils.misc
import time:       685 |        685 |         networkx.utils.decorators
import time:       211 |        211 |         networkx.utils.random_sequence
import time:       159 |        159 |         networkx.utils.union_find
import time:       162 |        162 |         networkx.utils.rcm
import time:       283 |        283 |         networkx.utils.heaps
import time:       317 |       2102 |       networkx.utils
import time:     51765 |      51765 |       networkx.utils.backends
import time:       222 |        222 |           networkx.convert
import time:       478 |        478 |           networkx.classes.coreviews
import time:       783 |        783 |           networkx.classes.reportviews
import time:       488 |       1970 |         networkx.classes.graph
import time:       340 |        340 |         networkx.classes.digraph
import time:       265 |        265 |         networkx.classes.multigraph
import time:       268 |        268 |         networkx.classes.multidigraph
import time:       415 |        415 |         networkx.classes.function
import time:       161 |        161 |           networkx.classes.filters
import time:       278 |        438 |         networkx.classes.graphviews
import time:       322 |       4016 |       networkx.classes
import time:       350 |        350 |       networkx.convert_matrix
import time:       197 |        197 |       networkx.relabel
import time:       347 |        347 |         networkx.generators.atlas
import time:       540 |        540 |         networkx.generators.classic
import time:       160 |        160 |         networkx.generators.cographs
import time:       341 |        341 |         networkx.generators.community
import time:       330 |        330 |         networkx.generators.degree_seq
import time:       322 |        322 |         networkx.generators.directed
import time:       184 |        184 |         networkx.generators.duplication
import time:       136 |        136 |         networkx.generators.ego
import time:       168 |        168 |         networkx.generators.expanders
import time:       340 |        340 |         networkx.generators.geometric
import time:       230 |        230 |         networkx.generators.internet_as_graphs
import time:       204 |        204 |         networkx.generators.intersection
import time:       138 |        138 |         networkx.generators.interval_graph
import time:       224 |        224 |         networkx.generators.joint_degree_seq
import time:       302 |        302 |         networkx.generators.lattice
import time:       222 |        222 |         networkx.generators.line
import time:       173 |        173 |         networkx.generators.mycielski
import time:       161 |        161 |         networkx.generators.nonisomorphic_trees
import time:       157 |        157 |         networkx.generators.random_clustered
import time:       502 |        502 |         networkx.generators.random_graphs
import time:       487 |        487 |         networkx.generators.small
import time:       246 |        246 |         networkx.generators.social
import time:       177 |        177 |         networkx.generators.spectral_graph_forge
import time:       152 |        152 |         networkx.generators.stochastic
import time:       138 |        138 |         networkx.generators.sudoku
import time:       141 |        141 |         networkx.generators.time_series
import time:       421 |        421 |         networkx.generators.trees
import time:       154 |        154 |         networkx.generators.triads
import time:       630 |       7714 |       networkx.generators
import time:       261 |        261 |         networkx.readwrite.adjlist
import time:       221 |        221 |         networkx.readwrite.multiline_adjlist
import time:       201 |        201 |         networkx.readwrite.edgelist
import time:       238 |        238 |         networkx.readwrite.pajek
import time:       169 |        169 |         networkx.readwrite.leda
import time:       312 |        312 |           networkx.readwrite.graph6
import time:       228 |        540 |         networkx.readwrite.sparse6
import time:       688 |        688 |         networkx.readwrite.gml
import time:       441 |        441 |         networkx.readwrite.graphml
import time:       992 |        992 |         networkx.readwrite.gexf
import time:       230 |        230 |           networkx.readwrite.json_graph.node_link
import time:       161 |        161 |           networkx.readwrite.json_graph.adjacency
import time:       199 |        199 |           networkx.readwrite.json_graph.tree
import time:       207 |        207 |           networkx.readwrite.json_graph.cytoscape
